division,adress,cctv,lat,long,cctvCnt,date
강서구,P173006_등촌어린이공원3(등촌3동 687-4),도심공원,37.56381,126.84146,1,2021-01-29
강서구,P183009(SC공원09) - 마곡서1로 8단지 인근 어린이공원4호 내,도심공원,37.56501272,126.8191114,1,2021-01-29
강서구,P183001(SC공원01) - 마곡중앙5로 근린공원2호 내,도심공원,37.56651227,126.821458,1,2021-01-29
강서구,P183002(SC공원02) - 마곡중앙5로 근린공원2호 내,도심공원,37.56673216,126.8224723,1,2021-01-29
강서구,P123002_가양2동 1471 구암근린공원,도심공원,37.567608,126.852234,1,2021-01-29
강서구,P183003(SC공원06) - 마곡중앙5로 소공원1호 내,도심공원,37.56777456,126.8219222,1,2021-01-29
강서구,P213001_방화2동 583 새싹어린이교통공원,도심공원,37.56948,126.809425,1,2021-01-29
강서구,P183004(SC공원07) - 마곡서로 어린이공원 3호 내,도심공원,37.57066982,126.8246221,1,2021-01-29
강서구,P203001_방화1동 266-24 쌈지어린이공원(녹지과),도심공원,37.57133,126.81482,1,2021-01-29
강서구,P203003_방화1동 184-66(도레미어린이공원),도심공원,37.57184159,126.819527,1,2021-01-29
강서구,P113003_가양1동 1459-1(나들이어린이공원),도심공원,37.57184321,126.8440976,1,2021-01-29
강서구,P113002(A5027)_(공원)궁산공원 입구,도심공원,37.572525,126.83893,1,2021-01-29
강서구,P213002_방화2동 558 샛별어린이공원,도심공원,37.57266,126.80949,1,2021-01-29
강서구,P223004_방화3동 842 옹기골근린공원3,도심공원,37.573544,126.82129,1,2021-01-29
강서구,P223002_방화3동 842 옹기골근린공원1,도심공원,37.57363164,126.8207851,1,2021-01-29
강서구,P223003_방화3동 842 옹기골근린공원2,도심공원,37.57382708,126.8207764,1,2021-01-29
강서구,P113004_가양1동 1456(궁산공원등산로입구),도심공원,37.57421692,126.8427993,1,2021-01-29
강서구,P113001(A5026)_(공원)_궁산공원 뒤쪽,도심공원,37.57427151,126.8392982,1,2021-01-29
강서구,P203002_방화1동 448-5 새싹공원,도심공원,37.57488,126.81272,1,2021-01-29
강서구,P223008_방화3동 837 돌샘어린이공원,도심공원,37.576054,126.81893,1,2021-01-29
강서구,P223012_방화3동 139(서남환경공원내 풋살경기장 앞),도심공원,37.577346,126.820195,1,2021-01-29
강서구,P223012_방화3동 139(서남환경공원내 풋살경기장 앞)(보조1),도심공원,37.577346,126.820195,1,2021-01-29
강서구,P223010_방화3동 830-6(금낭화로 146 공원) - 카메라 1,도심공원,37.57789,126.81325,1,2021-01-29
강서구,P223010_방화3동 830-6(금낭화로 146 공원)(보조1) - 카메라 1,도심공원,37.57789,126.81325,1,2021-01-29
강서구,P223010_방화3동 830-6(금낭화로 146 공원)(보조2) - 카메라 1,도심공원,37.57789,126.81325,1,2021-01-29
강서구,P223011_방화3동 산157-10(개화산 공원),도심공원,37.57877193,126.8075442,1,2021-01-29
강서구,P213003_개화동 458,도심공원,37.57928521,126.8015342,1,2021-01-29
강서구,P223001_방화3동 799 느티어린이공원(녹지과),도심공원,37.57936,126.81031,1,2021-01-29
강서구,P223006(A5029)_방화3동 855 방화공원 입구,도심공원,37.58105842,126.8138012,1,2021-01-29
강서구,P223005(A5028)_방화3동 855 방화공원_놀이터옆,도심공원,37.58186451,126.8123016,1,2021-01-29
강서구,P223009_방화3동 855 방화공원_민속놀이마당,도심공원,37.582245,126.81319,1,2021-01-29
강서구,P223009_방화3동 855 방화공원_민속놀이마당(보조1),도심공원,37.582245,126.81319,1,2021-01-29
강서구,P223007(A5030)_방화3동 855 방화공원 꿩고개화장실,도심공원,37.58225143,126.8139705,1,2021-01-29
강서구,C251021(A2047)_화곡1동 932-8,방범,37.527225,126.84068,1,2021-01-29
강서구,C251076_화곡1동 930-7(고정3) 웰라이빌 아파트 방향,방범,37.52758708,126.8430565,1,2021-01-29
강서구,C251076_화곡1동 930-7(고정2) S오일 주유소 국회대로 방향,방범,37.52759497,126.8430564,1,2021-01-29
강서구,C251076_화곡1동 930-7(고정1) 화곡 보람 더하임 아파트 방향,방범,37.52761074,126.8430563,1,2021-01-29
강서구,C251081_화곡1동 934-47(고정3) 화곡 보람더하임 아파트 방향,방범,37.52771797,126.8396572,1,2021-01-29
강서구,C251081_화곡1동 934-47(고정4) 국회대로 방향,방범,37.52772246,126.8396544,1,2021-01-29
강서구,C251081_화곡1동 934-47(고정2) 월정로 15길 7 광우빌라 방향,방범,37.52772473,126.8396572,1,2021-01-29
강서구,C251081_화곡1동 934-47(고정1) 샤르망 빌딩 방향,방범,37.52772584,126.8396543,1,2021-01-29
